Date,Hour_Ending,Load_MW
2023-01-06 16:00:00,17,10970
2023-01-06 17:00:00,18,12532
2023-01-06 18:00:00,19,11177
2023-01-06 19:00:00,20,12787
2023-01-06 20:00:00,21,14227
2023-01-06 21:00:00,22,13118
2023-01-06 22:00:00,23,12388
2023-01-06 23:00:00,24,12995
2023-01-07 00:00:00,1,9616
2023-01-07 01:00:00,2,9416
2023-01-07 02:00:00,3,10342
2023-01-07 03:00:00,4,8699
2023-01-07 04:00:00,5,8905
2023-01-07 05:00:00,6,8311
2023-01-07 06:00:00,7,7606
2023-01-07 07:00:00,8,7999
2023-01-07 08:00:00,9,8242
2023-01-07 09:00:00,10,8047
2023-01-07 10:00:00,11,7994
2023-01-07 11:00:00,12,8225
2023-01-07 12:00:00,13,8664
2023-01-07 13:00:00,14,9190
2023-01-07 14:00:00,15,9320
2023-01-07 15:00:00,16,9467
2023-01-07 16:00:00,17,8881
2023-01-07 17:00:00,18,10762
2023-01-07 18:00:00,19,10364
2023-01-07 19:00:00,20,9959
2023-01-07 20:00:00,21,11311
2023-01-07 21:00:00,22,10422
2023-01-07 22:00:00,23,10035
2023-01-07 23:00:00,24,9608
2023-01-08 00:00:00,1,9160
2023-01-08 01:00:00,2,9490
2023-01-08 02:00:00,3,9037
2023-01-08 03:00:00,4,9031
2023-01-08 04:00:00,5,8656
2023-01-08 05:00:00,6,7904
2023-01-08 06:00:00,7,7563
2023-01-08 07:00:00,8,7756
2023-01-08 08:00:00,9,7672
2023-01-08 09:00:00,10,7267
2023-01-08 10:00:00,11,8090
2023-01-08 11:00:00,12,7771
2023-01-08 12:00:00,13,7407
2023-01-08 13:00:00,14,8421
2023-01-08 14:00:00,15,8698
2023-01-08 15:00:00,16,10911
2023-01-08 16:00:00,17,10207
2023-01-08 17:00:00,18,10041
2023-01-08 18:00:00,19,10573
2023-01-08 19:00:00,20,11277
2023-01-08 20:00:00,21,10386
2023-01-08 21:00:00,22,11120
2023-01-08 22:00:00,23,10844
2023-01-08 23:00:00,24,10534
2023-01-09 00:00:00,1,12062
2023-01-09 01:00:00,2,12106
2023-01-09 02:00:00,3,9812
2023-01-09 03:00:00,4,9994
2023-01-09 04:00:00,5,10180
2023-01-09 05:00:00,6,9775
2023-01-09 06:00:00,7,9350
2023-01-09 07:00:00,8,9665
2023-01-09 08:00:00,9,8922
2023-01-09 09:00:00,10,10392
2023-01-09 10:00:00,11,8761
2023-01-09 11:00:00,12,10250
2023-01-09 12:00:00,13,9819
2023-01-09 13:00:00,14,10170
2023-01-09 14:00:00,15,11507
2023-01-09 15:00:00,16,12012
2023-01-09 16:00:00,17,10503
2023-01-09 17:00:00,18,12193
2023-01-09 18:00:00,19,11954
2023-01-09 19:00:00,20,12499
2023-01-09 20:00:00,21,11839
2023-01-09 21:00:00,22,12188
2023-01-09 22:00:00,23,11942
2023-01-09 23:00:00,24,12830
2023-01-10 00:00:00,1,11808
2023-01-10 01:00:00,2,11634
2023-01-10 02:00:00,3,11025
2023-01-10 03:00:00,4,10372
2023-01-10 04:00:00,5,9968
2023-01-10 05:00:00,6,9920
2023-01-10 06:00:00,7,9603
2023-01-10 07:00:00,8,9796
2023-01-10 08:00:00,9,9676
2023-01-10 09:00:00,10,8957
2023-01-10 10:00:00,11,9781
2023-01-10 11:00:00,12,10202
2023-01-10 12:00:00,13,9532
2023-01-10 13:00:00,14,10968
2023-01-10 14:00:00,15,11294
2023-01-10 15:00:00,16,11431
2023-01-10 16:00:00,17,11611
2023-01-10 17:00:00,18,11616
2023-01-10 18:00:00,19,12216
2023-01-10 19:00:00,20,13404
2023-01-10 20:00:00,21,12090
2023-01-10 21:00:00,22,13232
2023-01-10 22:00:00,23,12081
2023-01-10 23:00:00,24,11318
2023-01-11 00:00:00,1,10908
2023-01-11 01:00:00,2,12530
2023-01-11 02:00:00,3,11251
2023-01-11 03:00:00,4,9817
2023-01-11 04:00:00,5,10301
2023-01-11 05:00:00,6,10113
2023-01-11 06:00:00,7,9360
2023-01-11 07:00:00,8,9747
2023-01-11 08:00:00,9,8785
2023-01-11 09:00:00,10,9308
2023-01-11 10:00:00,11,9219
2023-01-11 11:00:00,12,10242
2023-01-11 12:00:00,13,10010
2023-01-11 13:00:00,14,10173
2023-01-11 14:00:00,15,10642
2023-01-11 15:00:00,16,12145
2023-01-11 16:00:00,17,11404
2023-01-11 17:00:00,18,11082
2023-01-11 18:00:00,19,11807
2023-01-11 19:00:00,20,12095
2023-01-11 20:00:00,21,11228
2023-01-11 21:00:00,22,12792
2023-01-11 22:00:00,23,11742
2023-01-11 23:00:00,24,11359
2023-01-12 00:00:00,1,12178
2023-01-12 01:00:00,2,10690
2023-01-12 02:00:00,3,10997
2023-01-12 03:00:00,4,11015
2023-01-12 04:00:00,5,9697
2023-01-12 05:00:00,6,8314
2023-01-12 06:00:00,7,8930
2023-01-12 07:00:00,8,10273
2023-01-12 08:00:00,9,8615
2023-01-12 09:00:00,10,8878
2023-01-12 10:00:00,11,9555
2023-01-12 11:00:00,12,10387
2023-01-12 12:00:00,13,9752
2023-01-12 13:00:00,14,9977
2023-01-12 14:00:00,15,11161
2023-01-12 15:00:00,16,11599
2023-01-12 16:00:00,17,10660
2023-01-12 17:00:00,18,12080
2023-01-12 18:00:00,19,13444
2023-01-12 19:00:00,20,13101
2023-01-12 20:00:00,21,12181
2023-01-12 21:00:00,22,11890
2023-01-12 22:00:00,23,11721
2023-01-12 23:00:00,24,12092
2023-01-13 00:00:00,1,11970
2023-01-13 01:00:00,2,11162
2023-01-13 02:00:00,3,9974
2023-01-13 03:00:00,4,11242
2023-01-13 04:00:00,5,10772
2023-01-13 05:00:00,6,9666
2023-01-13 06:00:00,7,9199
2023-01-13 07:00:00,8,10181
2023-01-13 08:00:00,9,9799
2023-01-13 09:00:00,10,8873
2023-01-13 10:00:00,11,10118
2023-01-13 11:00:00,12,8902
2023-01-13 12:00:00,13,9894
2023-01-13 13:00:00,14,10190
2023-01-13 14:00:00,15,11462
2023-01-13 15:00:00,16,11474
2023-01-13 16:00:00,17,11413
2023-01-13 17:00:00,18,12214
2023-01-13 18:00:00,19,13021
2023-01-13 19:00:00,20,12586
2023-01-13 20:00:00,21,12037
2023-01-13 21:00:00,22,11518
2023-01-13 22:00:00,23,13461
2023-01-13 23:00:00,24,12392
2023-01-14 00:00:00,1,9238
2023-01-14 01:00:00,2,9033
2023-01-14 02:00:00,3,8815
2023-01-14 03:00:00,4,7993
2023-01-14 04:00:00,5,8250
2023-01-14 05:00:00,6,8699
2023-01-14 06:00:00,7,7483
2023-01-14 07:00:00,8,7837
2023-01-14 08:00:00,9,7286
2023-01-14 09:00:00,10,8130
2023-01-14 10:00:00,11,7708
2023-01-14 11:00:00,12,7616
2023-01-14 12:00:00,13,8196
2023-01-14 13:00:00,14,8674
2023-01-14 14:00:00,15,9453
2023-01-14 15:00:00,16,10089
2023-01-14 16:00:00,17,9622
2023-01-14 17:00:00,18,10198
2023-01-14 18:00:00,19,10393
2023-01-14 19:00:00,20,10400
2023-01-14 20:00:00,21,10467
2023-01-14 21:00:00,22,11714
2023-01-14 22:00:00,23,10117
2023-01-14 23:00:00,24,10395
2023-01-15 00:00:00,1,9356
2023-01-15 01:00:00,2,9800
2023-01-15 02:00:00,3,9197
2023-01-15 03:00:00,4,8732
2023-01-15 04:00:00,5,8429
2023-01-15 05:00:00,6,8553
2023-01-15 06:00:00,7,7064
2023-01-15 07:00:00,8,8430
2023-01-15 08:00:00,9,7483
2023-01-15 09:00:00,10,8658
2023-01-15 10:00:00,11,7953
2023-01-15 11:00:00,12,8503
2023-01-15 12:00:00,13,9066
2023-01-15 13:00:00,14,8248
2023-01-15 14:00:00,15,9518
2023-01-15 15:00:00,16,9626
2023-01-15 16:00:00,17,9478
2023-01-15 17:00:00,18,10294
2023-01-15 18:00:00,19,10903
2023-01-15 19:00:00,20,10563
2023-01-15 20:00:00,21,10673
2023-01-15 21:00:00,22,9798
2023-01-15 22:00:00,23,10988
2023-01-15 23:00:00,24,9900
2023-01-16 00:00:00,1,12378
2023-01-16 01:00:00,2,11843
2023-01-16 02:00:00,3,9067
2023-01-16 03:00:00,4,11418
2023-01-16 04:00:00,5,9470
2023-01-16 05:00:00,6,10097
2023-01-16 06:00:00,7,9439
2023-01-16 07:00:00,8,9850
2023-01-16 08:00:00,9,9462
2023-01-16 09:00:00,10,9469
2023-01-16 10:00:00,11,8762
2023-01-16 11:00:00,12,9660
2023-01-16 12:00:00,13,10597
2023-01-16 13:00:00,14,10479
2023-01-16 14:00:00,15,10890
2023-01-16 15:00:00,16,11972
2023-01-16 16:00:00,17,11381
2023-01-16 17:00:00,18,11629
2023-01-16 18:00:00,19,12701
2023-01-16 19:00:00,20,12765
2023-01-16 20:00:00,21,12095
2023-01-16 21:00:00,22,11675
2023-01-16 22:00:00,23,11192
2023-01-16 23:00:00,24,12925
2023-01-17 00:00:00,1,11708
2023-01-17 01:00:00,2,10197
2023-01-17 02:00:00,3,10807
2023-01-17 03:00:00,4,9869
2023-01-17 04:00:00,5,10438
2023-01-17 05:00:00,6,9464
2023-01-17 06:00:00,7,9916
2023-01-17 07:00:00,8,8770
2023-01-17 08:00:00,9,8729
2023-01-17 09:00:00,10,9266
2023-01-17 10:00:00,11,9082
2023-01-17 11:00:00,12,9274
2023-01-17 12:00:00,13,9659
2023-01-17 13:00:00,14,10838
2023-01-17 14:00:00,15,11828
2023-01-17 15:00:00,16,11439
2023-01-17 16:00:00,17,12031
2023-01-17 17:00:00,18,11736
2023-01-17 18:00:00,19,11477
2023-01-17 19:00:00,20,11912
2023-01-17 20:00:00,21,12373
2023-01-17 21:00:00,22,11284
2023-01-17 22:00:00,23,11481
2023-01-17 23:00:00,24,12422
2023-01-18 00:00:00,1,10783
2023-01-18 01:00:00,2,11738
2023-01-18 02:00:00,3,10287
2023-01-18 03:00:00,4,9736
2023-01-18 04:00:00,5,10010
2023-01-18 05:00:00,6,8865
2023-01-18 06:00:00,7,9494
2023-01-18 07:00:00,8,8565
2023-01-18 08:00:00,9,9305
2023-01-18 09:00:00,10,8794
2023-01-18 10:00:00,11,9191
2023-01-18 11:00:00,12,9957
2023-01-18 12:00:00,13,10258
2023-01-18 13:00:00,14,9587
2023-01-18 14:00:00,15,10155
2023-01-18 15:00:00,16,10886
2023-01-18 16:00:00,17,11736
2023-01-18 17:00:00,18,11951
2023-01-18 18:00:00,19,10922
2023-01-18 19:00:00,20,13009
2023-01-18 20:00:00,21,11280
2023-01-18 21:00:00,22,12073
2023-01-18 22:00:00,23,12844
2023-01-18 23:00:00,24,11438
2023-01-19 00:00:00,1,10718
2023-01-19 01:00:00,2,10800
2023-01-19 02:00:00,3,11397
2023-01-19 03:00:00,4,10295
2023-01-19 04:00:00,5,9932
2023-01-19 05:00:00,6,10299
2023-01-19 06:00:00,7,9405
2023-01-19 07:00:00,8,8816
2023-01-19 08:00:00,9,8919
2023-01-19 09:00:00,10,9561
2023-01-19 10:00:00,11,9104
2023-01-19 11:00:00,12,8964
2023-01-19 12:00:00,13,10511
2023-01-19 13:00:00,14,10861
2023-01-19 14:00:00,15,10283
2023-01-19 15:00:00,16,10968
2023-01-19 16:00:00,17,11641
2023-01-19 17:00:00,18,12078
2023-01-19 18:00:00,19,11116
2023-01-19 19:00:00,20,12723
2023-01-19 20:00:00,21,12157
2023-01-19 21:00:00,22,12597
2023-01-19 22:00:00,23,12457
2023-01-19 23:00:00,24,11376
2023-01-20 00:00:00,1,11793
2023-01-20 01:00:00,2,10510
2023-01-20 02:00:00,3,10348
2023-01-20 03:00:00,4,10450
2023-01-20 04:00:00,5,10109
2023-01-20 05:00:00,6,9676
2023-01-20 06:00:00,7,9989
2023-01-20 07:00:00,8,9179
2023-01-20 08:00:00,9,9339
2023-01-20 09:00:00,10,9659
2023-01-20 10:00:00,11,9160
2023-01-20 11:00:00,12,9120
2023-01-20 12:00:00,13,10467
2023-01-20 13:00:00,14,10423
2023-01-20 14:00:00,15,10230
2023-01-20 15:00:00,16,11931
2023-01-20 16:00:00,17,11506
2023-01-20 17:00:00,18,12655
2023-01-20 18:00:00,19,13518
2023-01-20 19:00:00,20,11593
2023-01-20 20:00:00,21,11509
2023-01-20 21:00:00,22,12639
2023-01-20 22:00:00,23,12650
2023-01-20 23:00:00,24,11810
2023-01-21 00:00:00,1,9885
2023-01-21 01:00:00,2,9529
2023-01-21 02:00:00,3,9345
2023-01-21 03:00:00,4,8197
2023-01-21 04:00:00,5,9248
2023-01-21 05:00:00,6,8368
2023-01-21 06:00:00,7,8545
2023-01-21 07:00:00,8,8253
2023-01-21 08:00:00,9,7376
2023-01-21 09:00:00,10,7972
2023-01-21 10:00:00,11,8126
2023-01-21 11:00:00,12,7591
2023-01-21 12:00:00,13,8768
2023-01-21 13:00:00,14,8707
2023-01-21 14:00:00,15,9019
2023-01-21 15:00:00,16,8133
2023-01-21 16:00:00,17,9997
2023-01-21 17:00:00,18,9244
2023-01-21 18:00:00,19,10830
2023-01-21 19:00:00,20,11463
2023-01-21 20:00:00,21,10049
2023-01-21 21:00:00,22,11089
2023-01-21 22:00:00,23,11256
2023-01-21 23:00:00,24,9930
2023-01-22 00:00:00,1,9630
2023-01-22 01:00:00,2,9435
2023-01-22 02:00:00,3,9018
2023-01-22 03:00:00,4,9012
2023-01-22 04:00:00,5,7901
2023-01-22 05:00:00,6,8226
2023-01-22 06:00:00,7,8182
2023-01-22 07:00:00,8,7360
2023-01-22 08:00:00,9,7844
2023-01-22 09:00:00,10,7357
2023-01-22 10:00:00,11,8139
2023-01-22 11:00:00,12,8103
2023-01-22 12:00:00,13,8898
2023-01-22 13:00:00,14,9037
2023-01-22 14:00:00,15,9468
2023-01-22 15:00:00,16,8878
2023-01-22 16:00:00,17,9178
2023-01-22 17:00:00,18,10149
2023-01-22 18:00:00,19,10656
2023-01-22 19:00:00,20,10898
2023-01-22 20:00:00,21,10552
2023-01-22 21:00:00,22,11409
2023-01-22 22:00:00,23,10070
2023-01-22 23:00:00,24,10815
2023-01-23 00:00:00,1,10599
2023-01-23 01:00:00,2,11405
2023-01-23 02:00:00,3,10021
2023-01-23 03:00:00,4,10891
2023-01-23 04:00:00,5,9484
2023-01-23 05:00:00,6,9810
2023-01-23 06:00:00,7,9928
2023-01-23 07:00:00,8,9175
2023-01-23 08:00:00,9,8894
2023-01-23 09:00:00,10,9118
2023-01-23 10:00:00,11,8645
2023-01-23 11:00:00,12,9437
2023-01-23 12:00:00,13,11263
2023-01-23 13:00:00,14,9954
2023-01-23 14:00:00,15,10774
2023-01-23 15:00:00,16,11068
2023-01-23 16:00:00,17,11700
2023-01-23 17:00:00,18,10980
2023-01-23 18:00:00,19,12053
2023-01-23 19:00:00,20,12302
2023-01-23 20:00:00,21,12903
2023-01-23 21:00:00,22,13046
2023-01-23 22:00:00,23,11691
2023-01-23 23:00:00,24,11771
2023-01-24 00:00:00,1,12142
2023-01-24 01:00:00,2,11853
2023-01-24 02:00:00,3,11904
2023-01-24 03:00:00,4,10215
2023-01-24 04:00:00,5,9984
2023-01-24 05:00:00,6,9617
2023-01-24 06:00:00,7,9130
2023-01-24 07:00:00,8,8837
2023-01-24 08:00:00,9,8631
2023-01-24 09:00:00,10,8721
2023-01-24 10:00:00,11,9589
2023-01-24 11:00:00,12,10551
2023-01-24 12:00:00,13,9969
2023-01-24 13:00:00,14,10623
2023-01-24 14:00:00,15,12066
2023-01-24 15:00:00,16,11532
2023-01-24 16:00:00,17,12223
2023-01-24 17:00:00,18,11009
2023-01-24 18:00:00,19,11886
2023-01-24 19:00:00,20,11827
2023-01-24 20:00:00,21,12131
2023-01-24 21:00:00,22,11903
2023-01-24 22:00:00,23,11741
2023-01-24 23:00:00,24,11772
2023-01-25 00:00:00,1,12004
2023-01-25 01:00:00,2,10274
2023-01-25 02:00:00,3,10942
2023-01-25 03:00:00,4,10013
2023-01-25 04:00:00,5,10067
2023-01-25 05:00:00,6,9183
2023-01-25 06:00:00,7,9918
2023-01-25 07:00:00,8,8844
2023-01-25 08:00:00,9,9206
2023-01-25 09:00:00,10,9028
2023-01-25 10:00:00,11,9293
2023-01-25 11:00:00,12,9637
2023-01-25 12:00:00,13,9036
2023-01-25 13:00:00,14,9878
2023-01-25 14:00:00,15,10570
2023-01-25 15:00:00,16,11190
2023-01-25 16:00:00,17,11283
2023-01-25 17:00:00,18,11288
2023-01-25 18:00:00,19,13109
2023-01-25 19:00:00,20,12646
2023-01-25 20:00:00,21,12085
2023-01-25 21:00:00,22,11466
2023-01-25 22:00:00,23,11886
2023-01-25 23:00:00,24,12470
2023-01-26 00:00:00,1,10886
2023-01-26 01:00:00,2,11610
2023-01-26 02:00:00,3,11391
2023-01-26 03:00:00,4,10270
2023-01-26 04:00:00,5,10108
2023-01-26 05:00:00,6,9881
2023-01-26 06:00:00,7,8436
2023-01-26 07:00:00,8,8869
2023-01-26 08:00:00,9,8679
2023-01-26 09:00:00,10,8749
2023-01-26 10:00:00,11,9760
2023-01-26 11:00:00,12,10136
2023-01-26 12:00:00,13,10384
2023-01-26 13:00:00,14,10488
2023-01-26 14:00:00,15,11553
2023-01-26 15:00:00,16,10691
2023-01-26 16:00:00,17,12240
2023-01-26 17:00:00,18,12061
2023-01-26 18:00:00,19,12618
2023-01-26 19:00:00,20,12162
2023-01-26 20:00:00,21,12980
2023-01-26 21:00:00,22,13320
2023-01-26 22:00:00,23,12343
2023-01-26 23:00:00,24,12076
2023-01-27 00:00:00,1,12161
2023-01-27 01:00:00,2,10711
2023-01-27 02:00:00,3,10254
2023-01-27 03:00:00,4,9909
2023-01-27 04:00:00,5,9043
2023-01-27 05:00:00,6,9837
2023-01-27 06:00:00,7,10058
2023-01-27 07:00:00,8,9128
2023-01-27 08:00:00,9,9943
2023-01-27 09:00:00,10,9778
2023-01-27 10:00:00,11,8922
2023-01-27 11:00:00,12,10295
2023-01-27 12:00:00,13,10060
2023-01-27 13:00:00,14,10132
2023-01-27 14:00:00,15,10962
2023-01-27 15:00:00,16,11625
2023-01-27 16:00:00,17,12590
2023-01-27 17:00:00,18,11031
2023-01-27 18:00:00,19,12921
2023-01-27 19:00:00,20,12050
2023-01-27 20:00:00,21,13278
2023-01-27 21:00:00,22,11084
2023-01-27 22:00:00,23,12509
2023-01-27 23:00:00,24,12347
2023-01-28 00:00:00,1,9628
2023-01-28 01:00:00,2,9502
2023-01-28 02:00:00,3,8599
2023-01-28 03:00:00,4,9283
2023-01-28 04:00:00,5,8611
2023-01-28 05:00:00,6,8083
2023-01-28 06:00:00,7,7065
2023-01-28 07:00:00,8,8063
2023-01-28 08:00:00,9,7963
2023-01-28 09:00:00,10,7840
2023-01-28 10:00:00,11,7767
2023-01-28 11:00:00,12,8632
2023-01-28 12:00:00,13,8813
2023-01-28 13:00:00,14,8377
2023-01-28 14:00:00,15,9340
2023-01-28 15:00:00,16,9792
2023-01-28 16:00:00,17,9453
2023-01-28 17:00:00,18,10534
2023-01-28 18:00:00,19,10351
2023-01-28 19:00:00,20,10070
2023-01-28 20:00:00,21,10967
2023-01-28 21:00:00,22,10043
2023-01-28 22:00:00,23,9558
2023-01-28 23:00:00,24,10166
2023-01-29 00:00:00,1,10197
2023-01-29 01:00:00,2,9418
2023-01-29 02:00:00,3,9614
2023-01-29 03:00:00,4,9022
2023-01-29 04:00:00,5,7790
2023-01-29 05:00:00,6,8007
2023-01-29 06:00:00,7,7481
2023-01-29 07:00:00,8,8158
2023-01-29 08:00:00,9,7344
2023-01-29 09:00:00,10,7969
2023-01-29 10:00:00,11,7309
2023-01-29 11:00:00,12,8062
2023-01-29 12:00:00,13,7277
2023-01-29 13:00:00,14,8237
2023-01-29 14:00:00,15,9319
2023-01-29 15:00:00,16,9717
2023-01-29 16:00:00,17,9780
2023-01-29 17:00:00,18,10168
2023-01-29 18:00:00,19,10182
2023-01-29 19:00:00,20,10998
2023-01-29 20:00:00,21,10683
2023-01-29 21:00:00,22,10387
2023-01-29 22:00:00,23,9548
2023-01-29 23:00:00,24,10301
2023-01-30 00:00:00,1,12030
2023-01-30 01:00:00,2,10640
2023-01-30 02:00:00,3,10966
2023-01-30 03:00:00,4,10244
2023-01-30 04:00:00,5,10255
2023-01-30 05:00:00,6,7602
2023-01-30 06:00:00,7,9921
2023-01-30 07:00:00,8,8519
2023-01-30 08:00:00,9,8557
2023-01-30 09:00:00,10,9568
2023-01-30 10:00:00,11,8868
2023-01-30 11:00:00,12,10411
2023-01-30 12:00:00,13,9005
2023-01-30 13:00:00,14,10842
2023-01-30 14:00:00,15,10220
2023-01-30 15:00:00,16,11259
2023-01-30 16:00:00,17,10643
2023-01-30 17:00:00,18,11782
2023-01-30 18:00:00,19,12414
2023-01-30 19:00:00,20,12687
2023-01-30 20:00:00,21,11897
2023-01-30 21:00:00,22,12963
2023-01-30 22:00:00,23,12150
2023-01-30 23:00:00,24,11857
2023-01-31 00:00:00,1,11082
2023-01-31 01:00:00,2,10820
2023-01-31 02:00:00,3,10398
2023-01-31 03:00:00,4,9963
2023-01-31 04:00:00,5,10078
2023-01-31 05:00:00,6,9697
2023-01-31 06:00:00,7,9038
2023-01-31 07:00:00,8,8914
2023-01-31 08:00:00,9,8917
2023-01-31 09:00:00,10,9545
2023-01-31 10:00:00,11,9593
2023-01-31 11:00:00,12,9350
2023-01-31 12:00:00,13,10354
2023-01-31 13:00:00,14,9648
2023-01-31 14:00:00,15,10410
2023-01-31 15:00:00,16,11416
2023-01-31 16:00:00,17,10957
2023-01-31 17:00:00,18,11413
2023-01-31 18:00:00,19,12954
2023-01-31 19:00:00,20,11465
2023-01-31 20:00:00,21,12114
2023-01-31 21:00:00,22,12600
2023-01-31 22:00:00,23,11542
2023-01-31 23:00:00,24,11228
2023-02-01 00:00:00,1,10104
2023-02-01 01:00:00,2,11697
2023-02-01 02:00:00,3,9622
2023-02-01 03:00:00,4,10006
2023-02-01 04:00:00,5,9872
2023-02-01 05:00:00,6,9149
2023-02-01 06:00:00,7,8764
2023-02-01 07:00:00,8,9604
2023-02-01 08:00:00,9,9679
2023-02-01 09:00:00,10,8807
2023-02-01 10:00:00,11,9162
2023-02-01 11:00:00,12,9397
2023-02-01 12:00:00,13,9142
2023-02-01 13:00:00,14,10579
2023-02-01 14:00:00,15,10994
2023-02-01 15:00:00,16,10675
2023-02-01 16:00:00,17,11374
2023-02-01 17:00:00,18,11395
2023-02-01 18:00:00,19,12214
2023-02-01 19:00:00,20,12512
2023-02-01 20:00:00,21,12350
2023-02-01 21:00:00,22,11732
2023-02-01 22:00:00,23,11734
2023-02-01 23:00:00,24,12910
2023-02-02 00:00:00,1,11147
2023-02-02 01:00:00,2,10585
2023-02-02 02:00:00,3,11132
2023-02-02 03:00:00,4,9751
2023-02-02 04:00:00,5,9300
2023-02-02 05:00:00,6,9752
2023-02-02 06:00:00,7,9562
