project_id,capacity_mwh,power_rating_mw,installed_cost_usd_kwh,operation_year,state
PRJ_00053,187.54,86.81,291.4,2020,MA
PRJ_00054,310.19,56.73,295.2,2018,NY
PRJ_00055,275.21,63.78,261.5,2018,OH
PRJ_00056,32.88,8.76,258.1,2019,NY
PRJ_00057,62.11,12.67,260.5,2017,OH
PRJ_00058,133.96,33.94,297.8,2015,IL
PRJ_00059,290.22,52.83,261.1,2022,IL
PRJ_00060,50.65,9.04,293.0,2019,TX
PRJ_00061,72.04,19.54,373.4,2017,FL
PRJ_00062,23.86,7.68,319.2,2021,CA
PRJ_00063,21.42,4.9,265.3,2021,NY
PRJ_00064,238.66,42.24,334.1,2015,PA
PRJ_00065,458.28,161.22,261.6,2023,OH
PRJ_00066,82.57,18.38,188.3,2016,MA
PRJ_00067,300.14,66.31,234.6,2019,PA
PRJ_00068,138.93,28.17,195.8,2019,FL
PRJ_00069,41.51,16.43,264.2,2022,OH
PRJ_00070,138.89,28.56,280.8,2022,NY
PRJ_00071,500.0,88.71,355.4,2021,TX
PRJ_00072,86.23,31.72,294.7,2021,PA
PRJ_00073,500.0,169.48,270.1,2020,FL
PRJ_00074,3.88,0.66,317.3,2020,NY
PRJ_00075,241.36,88.61,180.5,2023,IL
PRJ_00076,99.93,18.45,290.6,2020,IL
PRJ_00077,62.88,15.84,314.7,2016,NY
PRJ_00078,100.5,33.62,213.5,2016,NY
PRJ_00079,8.29,1.51,331.5,2019,NY
PRJ_00080,69.16,18.29,295.2,2018,OH
PRJ_00081,138.18,34.04,261.3,2016,NY
PRJ_00082,500.0,145.48,308.5,2017,PA
PRJ_00083,48.33,11.06,382.2,2021,FL
PRJ_00084,34.12,12.85,288.2,2022,OH
PRJ_00085,49.3,13.83,291.2,2020,NY
PRJ_00086,270.02,45.94,259.3,2019,CA
PRJ_00087,133.55,44.04,241.8,2015,MA
PRJ_00088,47.67,10.3,317.4,2022,CA
PRJ_00089,166.65,50.49,241.5,2017,FL
PRJ_00090,101.14,19.85,283.2,2020,IL
PRJ_00091,287.83,114.06,258.5,2017,TX
PRJ_00092,38.77,6.59,301.6,2021,TX
PRJ_00093,60.75,15.92,295.0,2021,MA
PRJ_00094,56.23,19.1,326.7,2023,IL
PRJ_00095,15.55,6.78,257.0,2019,OH
PRJ_00096,128.42,47.94,267.9,2022,OH
PRJ_00097,123.13,30.19,236.0,2022,OH
PRJ_00098,90.57,27.05,260.0,2015,TX
PRJ_00099,67.93,12.78,297.0,2019,CA
PRJ_00100,16.47,4.42,314.1,2017,TX
PRJ_00101,54.34,18.14,238.5,2015,PA
PRJ_00102,59.66,13.35,319.1,2018,NY
PRJ_00103,34.37,7.12,341.0,2022,OH
PRJ_00104,74.18,27.8,298.6,2017,CA
PRJ_00105,146.18,54.74,364.5,2016,FL
PRJ_00106,500.0,232.92,245.2,2023,MA
PRJ_00107,111.0,22.44,224.0,2019,FL
PRJ_00108,122.62,26.34,200.0,2021,NY
PRJ_00109,82.32,21.12,347.3,2016,CA
PRJ_00110,9.0,1.67,309.4,2023,TX
PRJ_00111,87.2,16.7,277.5,2023,TX
PRJ_00112,96.76,22.29,292.6,2018,PA
PRJ_00113,500.0,91.36,229.4,2018,PA
PRJ_00114,71.46,25.31,390.1,2020,TX
PRJ_00115,129.26,52.81,285.8,2020,FL
PRJ_00116,86.34,28.04,284.9,2015,MA
PRJ_00117,22.14,9.94,312.7,2023,OH
PRJ_00118,354.74,86.0,301.6,2016,FL
PRJ_00119,221.92,38.62,290.1,2019,MA
PRJ_00120,232.58,107.81,244.4,2023,PA
PRJ_00121,30.23,12.15,301.2,2018,NY
PRJ_00122,484.61,127.24,364.7,2017,MA
PRJ_00123,16.74,2.92,340.5,2021,TX
PRJ_00124,182.04,55.76,351.7,2020,PA
PRJ_00125,500.0,124.1,257.0,2022,PA
PRJ_00126,27.42,12.66,235.5,2017,OH
PRJ_00127,45.62,17.59,274.3,2019,TX
PRJ_00128,101.45,17.06,282.5,2018,OH
PRJ_00129,49.2,8.39,329.2,2018,TX
PRJ_00130,14.0,6.93,203.8,2018,OH
PRJ_00131,97.74,16.83,348.8,2022,MA
PRJ_00132,25.16,5.52,272.9,2020,FL
PRJ_00133,158.91,29.04,260.8,2017,NY
PRJ_00134,29.87,7.82,234.5,2019,NY
PRJ_00135,500.0,123.08,205.5,2020,TX
PRJ_00136,35.17,8.89,317.0,2019,CA
PRJ_00137,61.16,13.1,283.3,2020,IL
PRJ_00138,238.94,93.39,222.0,2022,PA
PRJ_00139,20.55,9.69,221.7,2021,PA
PRJ_00140,118.27,36.6,264.9,2019,TX
PRJ_00141,432.06,89.66,355.1,2020,MA
PRJ_00142,13.08,4.66,268.3,2018,OH
PRJ_00143,112.34,23.93,212.4,2023,CA
PRJ_00144,122.96,20.91,268.9,2018,FL
PRJ_00145,230.02,96.83,267.7,2015,OH
PRJ_00146,20.4,4.35,158.6,2021,OH
PRJ_00147,18.46,4.89,277.6,2021,TX
PRJ_00148,168.4,30.77,269.6,2018,TX
PRJ_00149,128.56,47.46,311.3,2017,MA
PRJ_00150,121.58,25.49,363.2,2022,PA
PRJ_00151,136.42,25.49,330.7,2019,TX
PRJ_00152,39.8,6.89,267.9,2021,TX
PRJ_00153,118.95,25.13,230.2,2018,TX
PRJ_00154,127.96,32.08,395.8,2018,MA
PRJ_00155,38.2,8.54,282.7,2022,PA
PRJ_00156,500.0,91.31,280.6,2022,FL
PRJ_00157,158.95,37.12,278.9,2016,FL
PRJ_00158,21.55,10.16,288.9,2016,IL
PRJ_00159,197.92,34.58,273.5,2017,IL
PRJ_00160,27.95,5.87,254.2,2017,TX
PRJ_00161,231.48,49.19,255.4,2015,IL
PRJ_00162,361.52,126.29,278.5,2017,PA
PRJ_00163,33.62,7.25,255.5,2020,MA
PRJ_00164,286.02,79.99,247.9,2022,FL
PRJ_00165,147.72,32.08,284.8,2020,OH
PRJ_00166,241.4,99.49,268.5,2019,FL
PRJ_00167,500.0,107.96,347.7,2018,FL
PRJ_00168,67.06,11.18,160.7,2017,PA
PRJ_00169,36.43,16.62,329.1,2018,IL
PRJ_00170,30.96,5.24,336.1,2021,OH
PRJ_00171,33.82,9.32,186.7,2015,PA
PRJ_00172,82.06,14.97,264.6,2021,TX
PRJ_00173,135.56,26.43,263.3,2015,MA
PRJ_00174,125.47,29.4,216.7,2016,NY
PRJ_00175,242.89,49.03,245.0,2018,FL
PRJ_00176,91.43,16.58,230.0,2015,NY
PRJ_00177,500.0,138.25,358.9,2023,MA
PRJ_00178,65.52,19.81,322.1,2020,MA
PRJ_00179,500.0,107.06,337.2,2015,PA
PRJ_00180,190.72,36.46,312.5,2015,PA
PRJ_00181,32.18,6.37,229.2,2020,PA
PRJ_00182,24.9,4.8,256.4,2018,NY
PRJ_00183,160.61,42.92,302.0,2018,PA
PRJ_00184,68.84,13.06,225.0,2020,MA
PRJ_00185,212.05,85.47,312.1,2021,TX
PRJ_00186,158.84,38.02,269.2,2023,PA
PRJ_00187,82.48,40.77,263.1,2019,CA
PRJ_00188,32.58,9.88,312.0,2023,IL
PRJ_00189,14.62,4.22,300.0,2018,NY
PRJ_00190,52.68,14.7,263.8,2016,CA
PRJ_00191,251.56,52.61,332.2,2017,PA
PRJ_00192,116.39,32.75,231.4,2015,MA
PRJ_00193,20.19,5.32,307.7,2020,TX
PRJ_00194,110.81,37.56,306.7,2020,FL
PRJ_00195,142.93,40.92,266.1,2015,OH
PRJ_00196,31.17,10.71,294.7,2017,IL
PRJ_00197,108.25,47.21,223.7,2019,OH
PRJ_00198,96.53,21.87,321.6,2017,PA
PRJ_00199,22.84,4.89,271.7,2017,IL
PRJ_00200,138.29,30.88,256.5,2017,IL
PRJ_00201,176.43,45.78,327.2,2019,TX
PRJ_00202,330.19,93.83,248.3,2019,IL
PRJ_00203,318.8,58.46,216.6,2018,NY
PRJ_00204,17.23,4.23,210.0,2015,CA
PRJ_00205,29.21,7.46,307.3,2019,CA
PRJ_00206,167.01,79.43,222.4,2019,CA
PRJ_00207,166.76,49.56,359.0,2018,NY
PRJ_00208,167.01,47.44,186.3,2020,OH
PRJ_00209,500.0,139.07,356.3,2018,TX
PRJ_00210,178.59,41.33,289.5,2021,IL
PRJ_00211,351.66,85.06,275.6,2021,NY
PRJ_00212,282.82,63.82,255.5,2016,CA
PRJ_00213,196.7,38.88,298.0,2017,PA
PRJ_00214,61.66,11.74,278.3,2015,FL
PRJ_00215,223.8,45.93,329.6,2022,IL
PRJ_00216,35.61,6.12,285.1,2023,NY
PRJ_00217,67.75,32.68,286.8,2018,MA
PRJ_00218,50.28,18.07,263.6,2020,NY
PRJ_00219,99.31,48.92,277.4,2023,TX
PRJ_00220,500.0,108.93,293.9,2020,TX
PRJ_00221,9.58,1.71,203.0,2023,NY
PRJ_00222,205.1,68.97,219.3,2018,CA
PRJ_00223,13.0,2.28,313.4,2022,FL
PRJ_00224,51.09,22.8,287.7,2023,IL
PRJ_00225,332.53,57.96,271.7,2018,TX
PRJ_00226,97.24,28.54,280.8,2019,IL
PRJ_00227,24.7,10.27,295.6,2022,CA
PRJ_00228,38.15,9.68,255.7,2020,IL
PRJ_00229,203.47,67.22,245.0,2021,PA
PRJ_00230,37.47,11.94,288.8,2017,TX
PRJ_00231,116.72,36.14,236.0,2021,CA
PRJ_00232,95.08,18.24,298.4,2022,CA
PRJ_00233,41.19,9.91,203.4,2020,FL
PRJ_00234,500.0,154.07,326.3,2023,FL
PRJ_00235,192.62,43.37,301.3,2020,PA
PRJ_00236,7.92,1.63,291.5,2023,CA
PRJ_00237,112.59,36.43,324.2,2018,OH
PRJ_00238,40.68,11.13,354.9,2022,CA
PRJ_00239,250.37,100.65,325.6,2018,FL
PRJ_00240,34.78,12.76,197.2,2016,OH
PRJ_00241,78.44,16.6,222.4,2023,TX
PRJ_00242,165.01,60.54,251.9,2019,TX
PRJ_00243,254.4,62.04,281.2,2018,IL
PRJ_00244,21.32,4.41,303.3,2016,NY
PRJ_00245,60.26,24.82,247.3,2015,FL
PRJ_00246,50.91,11.92,288.4,2021,NY
PRJ_00247,41.1,13.58,246.0,2020,OH
PRJ_00248,500.0,85.45,252.5,2016,FL
PRJ_00249,146.35,37.2,216.7,2022,PA
PRJ_00250,19.82,3.79,238.5,2018,CA
PRJ_00251,270.81,64.47,219.2,2022,PA
PRJ_00252,500.0,230.03,236.1,2021,OH
PRJ_00253,310.74,68.56,327.4,2019,FL
PRJ_00254,14.54,2.5,237.3,2022,MA
PRJ_00255,50.35,11.43,398.5,2023,OH
PRJ_00256,411.7,78.02,302.2,2019,MA
PRJ_00257,38.51,6.95,288.3,2019,CA
PRJ_00258,153.33,52.65,241.4,2016,TX
PRJ_00259,228.05,80.07,311.5,2019,TX
PRJ_00260,29.6,6.66,254.1,2017,OH
PRJ_00261,83.81,23.0,285.5,2021,NY
PRJ_00262,1.84,0.34,395.2,2019,FL
PRJ_00263,26.33,4.7,275.7,2022,FL
PRJ_00264,66.48,19.47,331.7,2015,TX
PRJ_00265,20.14,6.83,248.4,2017,IL
PRJ_00266,500.0,97.62,278.4,2017,PA
PRJ_00267,16.18,5.22,359.7,2023,IL
PRJ_00268,53.09,10.03,251.8,2019,CA
PRJ_00269,105.31,28.5,361.6,2023,PA
PRJ_00270,500.0,107.06,311.8,2023,PA
PRJ_00271,16.07,6.75,254.7,2015,OH
PRJ_00272,363.51,80.86,308.5,2016,TX
PRJ_00273,91.13,23.94,323.8,2019,IL
PRJ_00274,27.72,6.38,308.0,2018,IL
PRJ_00275,156.73,58.66,209.3,2023,TX
PRJ_00276,114.31,23.1,247.3,2021,IL
PRJ_00277,43.8,8.04,268.9,2020,MA
PRJ_00278,97.88,34.14,276.7,2021,TX
PRJ_00279,56.69,23.79,307.9,2015,OH
PRJ_00280,103.15,49.25,288.0,2015,NY
PRJ_00281,199.25,43.62,219.9,2022,PA
PRJ_00282,500.0,112.91,297.1,2016,OH
PRJ_00283,20.38,4.87,307.5,2023,FL
PRJ_00284,500.0,170.78,305.2,2021,CA
PRJ_00285,8.65,2.43,328.6,2020,NY
PRJ_00286,75.03,17.14,317.5,2015,FL
PRJ_00287,182.36,45.74,300.7,2015,PA
PRJ_00288,126.11,21.19,276.8,2016,IL
PRJ_00289,42.64,16.75,205.3,2020,TX
PRJ_00290,70.12,14.67,299.3,2020,PA
PRJ_00291,49.82,13.77,289.3,2016,OH
PRJ_00292,44.38,11.95,292.2,2015,CA
PRJ_00293,249.52,51.23,222.5,2019,OH
PRJ_00294,138.16,28.97,231.4,2019,NY
PRJ_00295,39.19,6.57,327.4,2016,NY
PRJ_00296,264.94,105.41,278.2,2020,CA
PRJ_00297,130.16,53.86,310.7,2023,MA
PRJ_00298,238.75,48.75,281.3,2016,FL
PRJ_00299,191.63,44.42,281.3,2016,FL
PRJ_00300,33.29,10.75,322.2,2017,NY
PRJ_00301,45.96,19.83,256.8,2021,NY
PRJ_00302,220.69,94.21,284.3,2020,IL
PRJ_00303,187.25,33.58,259.2,2022,TX
PRJ_00304,87.79,31.72,260.4,2022,IL
PRJ_00305,103.63,31.46,266.1,2020,IL
PRJ_00306,417.05,143.48,290.0,2017,MA
PRJ_00307,44.26,12.94,258.5,2017,FL
PRJ_00308,173.56,76.2,336.5,2015,MA
PRJ_00309,70.62,17.33,239.7,2021,MA
PRJ_00310,69.32,30.53,271.6,2019,CA
PRJ_00311,336.48,64.69,260.2,2018,FL
PRJ_00312,242.38,82.59,345.1,2018,TX
PRJ_00313,238.94,57.44,288.8,2018,OH
PRJ_00314,431.2,78.11,326.4,2020,NY
PRJ_00315,92.31,20.05,213.1,2022,NY
PRJ_00316,204.05,49.38,292.0,2022,TX
PRJ_00317,62.03,18.81,320.0,2019,MA
PRJ_00318,132.82,39.86,283.7,2020,IL
PRJ_00319,77.0,16.46,327.9,2018,CA
PRJ_00320,101.13,16.92,256.7,2023,MA
PRJ_00321,183.86,39.56,343.4,2022,NY
PRJ_00322,33.72,7.97,383.5,2015,PA
PRJ_00323,500.0,101.57,263.7,2016,IL
PRJ_00324,26.92,6.97,260.0,2023,NY
PRJ_00325,20.97,9.36,345.4,2022,PA
PRJ_00326,361.31,85.03,351.1,2017,MA
PRJ_00327,232.76,39.92,256.5,2022,TX
PRJ_00328,190.37,70.47,261.1,2015,TX
PRJ_00329,191.33,40.2,267.3,2018,IL
PRJ_00330,88.7,31.64,219.5,2017,NY
PRJ_00331,30.67,7.4,238.7,2020,FL
PRJ_00332,98.59,41.31,234.8,2021,PA
PRJ_00333,39.94,10.51,245.4,2018,CA
PRJ_00334,290.08,57.73,278.4,2021,NY
PRJ_00335,75.45,22.26,290.5,2023,CA
PRJ_00336,33.43,7.17,349.8,2016,NY
PRJ_00337,61.21,11.81,235.1,2017,FL
PRJ_00338,147.75,25.88,324.3,2019,FL
PRJ_00339,45.77,15.57,270.4,2017,IL
PRJ_00340,33.56,9.33,277.8,2022,IL
PRJ_00341,120.59,46.21,310.4,2022,FL
PRJ_00342,120.78,20.23,229.5,2022,OH
PRJ_00343,48.99,8.58,297.2,2023,FL
PRJ_00344,51.15,12.3,287.5,2018,TX
PRJ_00345,118.92,22.15,302.2,2019,TX
PRJ_00346,15.84,3.88,293.0,2019,OH
PRJ_00347,16.63,3.7,390.5,2022,MA
PRJ_00348,38.01,16.13,251.3,2021,PA
PRJ_00349,69.68,13.88,256.1,2023,MA
PRJ_00350,130.72,52.06,252.0,2022,CA
PRJ_00351,500.0,94.26,255.0,2016,MA
PRJ_00352,251.94,49.13,251.3,2018,NY
PRJ_00353,74.3,15.37,333.5,2020,MA
PRJ_00354,87.99,41.03,343.9,2016,NY
PRJ_00355,27.03,8.41,254.3,2021,OH
PRJ_00356,88.04,28.84,242.5,2017,TX
PRJ_00357,63.66,18.5,301.2,2017,IL
PRJ_00358,132.59,56.41,255.1,2016,NY
PRJ_00359,33.36,5.8,308.5,2022,TX
PRJ_00360,167.87,39.83,289.1,2020,PA
PRJ_00361,500.0,155.18,211.8,2015,CA
PRJ_00362,79.0,22.02,349.6,2015,PA
PRJ_00363,145.77,38.47,360.8,2021,OH
PRJ_00364,206.06,46.81,252.4,2022,MA
PRJ_00365,55.62,13.69,262.6,2019,MA
PRJ_00366,117.79,20.75,292.9,2019,FL
PRJ_00367,91.39,22.92,295.1,2018,FL
PRJ_00368,101.21,16.96,309.6,2020,FL
PRJ_00369,35.6,6.59,370.5,2020,PA
PRJ_00370,92.7,32.71,272.0,2017,NY
PRJ_00371,163.63,28.59,244.1,2023,CA
PRJ_00372,500.0,202.8,217.9,2021,FL
PRJ_00373,284.61,54.01,247.1,2015,OH
PRJ_00374,500.0,141.94,278.5,2021,OH
PRJ_00375,35.84,6.5,360.8,2019,FL
PRJ_00376,256.41,46.86,256.7,2019,MA
PRJ_00377,112.17,21.47,290.1,2016,FL
PRJ_00378,500.0,96.9,279.3,2018,CA
PRJ_00379,34.13,10.6,333.5,2020,FL
PRJ_00380,32.86,14.14,393.7,2021,CA
PRJ_00381,43.85,12.14,256.1,2019,OH
PRJ_00382,7.04,2.61,258.0,2023,FL
PRJ_00383,47.9,10.02,327.0,2017,PA
PRJ_00384,36.2,10.7,310.7,2015,IL
PRJ_00385,107.82,18.27,363.1,2018,PA
PRJ_00386,135.65,29.72,306.3,2023,OH
PRJ_00387,500.0,94.52,263.8,2018,CA
PRJ_00388,281.61,111.3,306.6,2016,PA
PRJ_00389,45.05,8.27,329.9,2019,CA
PRJ_00390,30.63,5.38,316.9,2017,PA
PRJ_00391,162.44,41.14,302.8,2023,PA
PRJ_00392,18.46,4.17,328.0,2018,CA
PRJ_00393,500.0,98.83,332.6,2020,NY
PRJ_00394,370.68,137.32,342.2,2016,PA
PRJ_00395,51.26,12.78,309.2,2020,FL
PRJ_00396,11.52,3.21,272.5,2017,IL
PRJ_00397,456.98,176.75,286.6,2023,OH
PRJ_00398,78.46,22.61,334.3,2016,NY
PRJ_00399,397.57,174.94,243.2,2023,CA
PRJ_00400,13.29,6.32,296.6,2019,NY
PRJ_00401,43.85,17.26,262.3,2022,TX
PRJ_00402,90.59,15.48,281.3,2016,TX
PRJ_00403,95.24,22.69,337.5,2020,PA
PRJ_00404,52.45,8.95,288.6,2017,PA
PRJ_00405,190.08,50.96,282.1,2019,FL
PRJ_00406,25.0,7.7,218.8,2022,IL
PRJ_00407,75.88,18.85,313.6,2015,OH
PRJ_00408,104.0,27.67,309.0,2019,NY
PRJ_00409,166.89,68.89,377.3,2017,TX
PRJ_00410,211.44,46.33,266.1,2018,PA
PRJ_00411,23.35,8.15,289.9,2016,MA
PRJ_00412,14.28,3.19,291.2,2023,MA
PRJ_00413,417.05,90.65,351.0,2017,OH
PRJ_00414,134.13,51.43,275.7,2016,NY
PRJ_00415,36.66,16.33,292.6,2023,PA
PRJ_00416,500.0,97.6,307.4,2021,PA
PRJ_00417,103.42,26.94,288.4,2020,TX
PRJ_00418,370.61,166.0,259.9,2015,TX
PRJ_00419,97.61,16.32,288.7,2019,PA
PRJ_00420,500.0,224.1,328.3,2017,CA
PRJ_00421,500.0,104.6,233.8,2015,PA
PRJ_00422,66.77,11.25,286.0,2018,OH
PRJ_00423,288.84,97.69,248.5,2016,PA
PRJ_00424,195.28,76.02,333.8,2016,FL
PRJ_00425,465.15,187.14,211.5,2017,IL
PRJ_00426,28.28,8.8,254.8,2022,FL
PRJ_00427,205.05,85.29,297.0,2022,FL
PRJ_00428,320.57,67.23,350.4,2021,CA
PRJ_00429,10.91,4.85,277.0,2020,CA
PRJ_00430,21.76,5.39,255.0,2023,MA
PRJ_00431,7.79,1.3,364.7,2018,PA
PRJ_00432,65.15,12.4,214.8,2015,FL
PRJ_00433,212.95,47.74,181.1,2022,CA
PRJ_00434,500.0,155.04,299.8,2021,TX
PRJ_00435,98.39,21.89,257.4,2021,PA
PRJ_00436,500.0,121.71,234.0,2017,OH
PRJ_00437,17.18,4.64,311.9,2018,IL
PRJ_00438,11.66,4.62,291.0,2023,NY
PRJ_00439,84.21,15.18,254.6,2020,PA
PRJ_00440,142.72,37.57,222.4,2019,NY
PRJ_00441,86.55,31.15,319.3,2017,FL
PRJ_00442,7.53,2.17,309.3,2023,IL
PRJ_00443,80.89,22.12,275.5,2019,NY
PRJ_00444,18.81,3.54,363.1,2019,FL
PRJ_00445,201.06,40.75,231.8,2018,TX
PRJ_00446,139.76,27.53,211.4,2018,NY
PRJ_00447,29.14,14.26,248.9,2015,IL
PRJ_00448,48.59,13.26,277.9,2021,MA
PRJ_00449,25.25,6.43,291.0,2023,PA
PRJ_00450,83.49,40.2,269.1,2017,FL
PRJ_00451,283.2,93.18,295.8,2016,PA
PRJ_00452,27.58,5.47,223.7,2017,IL
PRJ_00453,164.82,64.68,345.0,2015,CA
PRJ_00454,47.64,11.5,276.3,2020,FL
PRJ_00455,34.76,12.15,330.3,2021,NY
PRJ_00456,79.17,38.65,295.4,2016,FL
PRJ_00457,25.99,8.77,300.6,2022,PA
PRJ_00458,46.32,7.85,305.6,2020,TX
PRJ_00459,21.38,4.11,300.1,2018,FL
PRJ_00460,500.0,85.64,308.9,2019,NY
PRJ_00461,93.91,23.77,339.8,2022,CA
PRJ_00462,38.87,15.94,288.8,2017,MA
PRJ_00463,116.37,27.76,311.9,2017,OH
PRJ_00464,78.67,20.61,276.0,2018,TX
PRJ_00465,69.05,12.84,344.8,2015,MA
PRJ_00466,188.1,78.63,249.6,2023,CA
PRJ_00467,223.41,56.52,361.0,2022,FL
PRJ_00468,47.63,18.32,278.2,2022,PA
PRJ_00469,45.11,13.67,215.6,2020,IL
PRJ_00470,64.71,13.07,285.8,2021,PA
PRJ_00471,5.68,1.46,249.4,2020,MA
PRJ_00472,14.61,4.17,317.8,2023,NY
PRJ_00473,464.17,129.73,250.6,2017,PA
PRJ_00474,500.0,130.28,259.9,2017,TX
PRJ_00475,66.76,12.99,195.0,2017,PA
PRJ_00476,179.8,32.29,259.6,2017,NY
PRJ_00477,130.78,22.47,170.9,2023,OH
PRJ_00478,500.0,97.13,208.7,2018,FL
PRJ_00479,344.98,105.77,314.2,2021,IL
PRJ_00480,77.21,16.25,315.4,2023,MA
PRJ_00481,28.6,7.63,299.1,2021,FL
PRJ_00482,13.1,4.34,236.5,2023,PA
PRJ_00483,114.91,21.42,277.9,2017,CA
PRJ_00484,36.32,16.86,279.8,2018,FL
PRJ_00485,16.33,2.91,227.9,2022,OH
PRJ_00486,41.43,10.77,347.7,2020,PA
PRJ_00487,24.59,5.4,319.5,2019,IL
PRJ_00488,500.0,107.82,270.1,2018,NY
PRJ_00489,259.3,46.46,281.2,2022,OH
PRJ_00490,89.16,19.61,289.4,2015,PA
PRJ_00491,500.0,112.21,188.1,2023,OH
PRJ_00492,98.77,43.58,268.9,2015,FL
PRJ_00493,32.02,7.86,249.3,2022,IL
PRJ_00494,500.0,192.26,234.9,2018,NY
PRJ_00495,171.86,34.72,267.4,2023,PA
PRJ_00496,25.93,6.4,360.9,2019,TX
PRJ_00497,71.64,15.17,308.8,2017,MA
PRJ_00498,31.48,14.53,254.3,2023,NY
PRJ_00499,17.13,7.32,305.8,2023,TX
